Timestamp,Symbol,Pivot_Name,Pivot_Price,Current_Price,Outcome,Rejection_Reason,Notes
2025-12-24 09:30:14,MRNA,Current_Pivot,32.24,32.24,REJECTED,Volume data not available for today,
2025-12-24 09:30:19,MRNA,Current_Pivot,32.24,32.29,REJECTED,Volume data not available for today,
2025-12-24 09:30:24,MRNA,Current_Pivot,32.24,32.29,REJECTED,Volume data not available for today,
2025-12-24 09:30:29,MRNA,Current_Pivot,32.24,32.31,REJECTED,Volume data not available for today,
2025-12-24 09:30:34,MRNA,Current_Pivot,32.24,32.31,REJECTED,Volume data not available for today,
2025-12-24 09:30:39,MRNA,Current_Pivot,32.24,32.31,REJECTED,Volume data not available for today,
2025-12-24 09:30:44,CRCL,Current_Pivot,82.39,82.44,REJECTED,Volume data not available for today,
2025-12-24 09:30:44,MRNA,Current_Pivot,32.24,32.31,REJECTED,Volume data not available for today,
2025-12-24 09:30:49,SHAK,Current_Pivot,85.01,85.05,REJECTED,Volume data not available for today,
2025-12-24 09:30:54,SHAK,Current_Pivot,85.01,85.05,REJECTED,Volume data not available for today,
2025-12-24 09:30:55,SHAK,Current_Pivot,85.01,85.05,REJECTED,Volume data not available for today,
2025-12-24 09:31:00,CFLT,Current_Pivot,30.02,30.02,REJECTED,Volume data not available for today,
2025-12-24 09:31:05,CFLT,Current_Pivot,30.02,30.02,REJECTED,Volume data not available for today,
2025-12-24 09:31:10,CFLT,Current_Pivot,30.02,30.02,REJECTED,Volume data not available for today,
2025-12-24 09:31:15,CFLT,Current_Pivot,30.02,30.03,REJECTED,Volume data not available for today,
2025-12-24 09:31:20,CFLT,Current_Pivot,30.02,30.03,REJECTED,Volume data not available for today,
2025-12-24 09:31:25,CFLT,Current_Pivot,30.02,30.03,REJECTED,Volume data not available for today,
2025-12-24 09:31:30,CFLT,Current_Pivot,30.02,30.03,REJECTED,Volume data not available for today,
2025-12-24 09:31:35,CFLT,Current_Pivot,30.02,30.03,REJECTED,Volume data not available for today,
2025-12-24 09:31:40,CFLT,Current_Pivot,30.02,30.03,REJECTED,Volume data not available for today,
2025-12-24 09:31:45,EXEL,Current_Pivot,43.23,46.95,REJECTED,Volume data not available for today,
2025-12-24 09:31:45,EXEL,Current_R1,45.62,46.95,REJECTED,Volume data not available for today,
2025-12-24 09:31:45,EXEL,Current_R2,46.95,46.95,REJECTED,Volume data not available for today,
2025-12-24 09:31:45,CFLT,Current_Pivot,30.02,30.02,REJECTED,Volume data not available for today,
2025-12-24 09:31:50,EXEL,Current_Pivot,43.23,46.99,REJECTED,Volume data not available for today,
2025-12-24 09:31:50,EXEL,Current_R1,45.62,46.99,REJECTED,Volume data not available for today,
2025-12-24 09:31:50,EXEL,Current_R2,46.95,46.99,REJECTED,Volume data not available for today,
2025-12-24 09:31:50,CFLT,Current_Pivot,30.02,30.02,REJECTED,Volume data not available for today,
2025-12-24 09:31:55,CFLT,Current_Pivot,30.02,30.02,REJECTED,Volume data not available for today,
2025-12-24 09:32:00,CFLT,Current_Pivot,30.02,30.02,REJECTED,Volume data not available for today,
2025-12-24 09:32:05,CFLT,Current_Pivot,30.02,30.02,REJECTED,Volume data not available for today,
2025-12-24 09:32:15,DOCU,Current_Pivot,69.29,69.34,REJECTED,Volume data not available for today,
2025-12-24 09:32:20,DOCU,Current_Pivot,69.29,69.34,REJECTED,Volume data not available for today,
2025-12-24 09:32:25,DOCU,Current_Pivot,69.29,69.34,REJECTED,"Volume $1,847,925 < $14,000,000 threshold",
2025-12-24 09:33:00,UBER,Current_Pivot,80.41,80.72,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:33:00,IREN,Current_Pivot,37.88,41.83,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:33:30,UBER,Current_Pivot,80.41,80.66,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:33:30,IREN,Current_Pivot,37.88,41.94,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:34:00,UBER,Current_Pivot,80.41,80.69,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:34:00,IREN,Current_Pivot,37.88,41.86,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:34:30,UBER,Current_Pivot,80.41,80.83,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:34:30,IREN,Current_Pivot,37.88,41.95,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:35:00,UBER,Current_Pivot,80.41,80.86,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:35:00,IREN,Current_Pivot,37.88,42.11,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:35:30,UBER,Current_Pivot,80.41,80.79,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:35:30,IREN,Current_Pivot,37.88,42.06,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:36:00,UBER,Current_Pivot,80.41,80.71,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:36:00,IREN,Current_Pivot,37.88,42.05,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:36:30,UBER,Current_Pivot,80.41,80.66,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:36:30,IREN,Current_Pivot,37.88,41.95,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:37:00,UBER,Current_Pivot,80.41,80.66,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:37:00,IREN,Current_Pivot,37.88,41.89,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:37:30,UBER,Current_Pivot,80.41,80.65,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:37:30,IREN,Current_Pivot,37.88,41.81,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:38:00,UBER,Current_Pivot,80.41,80.70,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:38:00,IREN,Current_Pivot,37.88,41.87,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:38:30,UBER,Current_Pivot,80.41,80.78,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:38:30,IREN,Current_Pivot,37.88,41.74,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:39:00,UBER,Current_Pivot,80.41,80.80,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:39:00,IREN,Current_Pivot,37.88,41.80,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:39:31,UBER,Current_Pivot,80.41,80.82,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:39:31,IREN,Current_Pivot,37.88,41.83,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:40:01,UBER,Current_Pivot,80.41,80.92,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:40:01,IREN,Current_Pivot,37.88,41.99,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:40:31,UBER,Current_Pivot,80.41,80.95,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:40:31,IREN,Current_Pivot,37.88,42.13,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:41:01,UBER,Current_Pivot,80.41,80.92,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:41:01,IREN,Current_Pivot,37.88,42.29,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:41:31,UBER,Current_Pivot,80.41,80.92,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:41:31,IREN,Current_Pivot,37.88,42.61,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:41:31,IREN,Current_R1,42.41,42.61,REJECTED,Dollar volume unavailable (mid-day restart),
2025-12-24 09:42:01,UBER,Current_Pivot,80.41,80.87,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:42:01,IREN,Current_Pivot,37.88,42.50,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:42:01,IREN,Current_R1,42.41,42.50,REJECTED,Dollar volume unavailable (mid-day restart),
2025-12-24 09:42:31,UBER,Current_Pivot,80.41,80.87,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:42:31,IREN,Current_Pivot,37.88,42.67,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:42:31,IREN,Current_R1,42.41,42.67,REJECTED,Dollar volume unavailable (mid-day restart),
2025-12-24 09:43:01,UBER,Current_Pivot,80.41,80.86,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:43:01,IREN,Current_Pivot,37.88,42.80,REJECTED,Pivot $37.88 <= opening $41.83,
2025-12-24 09:43:01,IREN,Current_R1,42.41,42.80,REJECTED,Dollar volume unavailable (mid-day restart),
2025-12-24 09:43:31,UBER,Current_Pivot,80.41,80.77,REJECTED,Pivot $80.41 <= opening $81.01,
2025-12-24 09:43:31,IREN,Current_Pivot,37.88,42.83,REJECTED,Pivot $37.88 <= opening $41.83,
