Ticker,Days_Appeared,Dates_Appeared,Max_Dollar_Volume,Avg_Dollar_Volume,Threshold_Used
PAAS,5,"2026-01-26, 2026-01-27, 2026-01-28, 2026-01-29, 2026-01-30",68728190.96,44233281.64,14000000.00
PDD,3,"2026-01-26, 2026-01-27, 2026-01-28",62913397.04,35767324.99,14000000.00
IONQ,3,"2026-01-26, 2026-01-29, 2026-01-30",48440993.28,27914695.40,14000000.00
OXY,3,"2026-01-26, 2026-01-28, 2026-01-29",45241646.80,26321321.33,14000000.00
TEAM,3,"2026-01-26, 2026-01-27, 2026-01-29",40111349.02,23701002.70,14000000.00
MP,3,"2026-01-26, 2026-01-28, 2026-01-29",39093041.82,30823705.00,14000000.00
OKLO,3,"2026-01-26, 2026-01-27, 2026-01-28",35312772.08,25556845.84,14000000.00
AG,3,"2026-01-27, 2026-01-28, 2026-01-30",34853958.79,23774364.48,14000000.00
ARM,3,"2026-01-26, 2026-01-28, 2026-01-29",28287010.00,21109275.70,14000000.00
DDOG,3,"2026-01-27, 2026-01-28, 2026-01-29",27932891.71,23706930.04,14000000.00
CRDO,3,"2026-01-27, 2026-01-28, 2026-01-29",21527068.30,18612785.76,14000000.00
HYMC,3,"2026-01-26, 2026-01-27, 2026-01-30",20591975.88,17935936.02,14000000.00
DELL,3,"2026-01-26, 2026-01-28, 2026-01-29",18120800.40,15591361.38,14000000.00
KTOS,3,"2026-01-26, 2026-01-28, 2026-01-30",16200840.00,15579461.50,14000000.00
COP,2,"2026-01-26, 2026-01-29",38922986.90,26755073.98,14000000.00
MRVL,2,"2026-01-28, 2026-01-29",28195225.60,25970875.37,14000000.00
DVN,2,"2026-01-28, 2026-01-29",27814216.32,21692426.52,14000000.00
ON,2,"2026-01-28, 2026-01-29",26201402.50,20491451.45,14000000.00
CRCL,2,"2026-01-27, 2026-01-28",24798292.50,22558393.68,14000000.00
MRNA,2,"2026-01-26, 2026-01-27",22471341.72,20037246.93,14000000.00
SHOP,2,"2026-01-27, 2026-01-28",19310653.87,18254862.94,14000000.00
AA,2,"2026-01-26, 2026-01-27",18407442.58,16916390.18,14000000.00
NBIS,1,2026-01-26,66700871.40,66700871.40,14000000.00
CSGP,1,2026-01-27,60210851.18,60210851.18,14000000.00
DECK,1,2026-01-30,58783529.40,58783529.40,14000000.00
GM,1,2026-01-27,58195942.62,58195942.62,14000000.00
NEM,1,2026-01-26,57108974.67,57108974.67,14000000.00
MCHP,1,2026-01-28,46627491.56,46627491.56,14000000.00
RVMD,1,2026-01-26,38955279.00,38955279.00,14000000.00
ZM,1,2026-01-27,37777779.00,37777779.00,14000000.00
BMNR,1,2026-01-28,35959999.32,35959999.32,14000000.00
AKAM,1,2026-01-27,33962825.28,33962825.28,14000000.00
SLB,1,2026-01-28,32745787.20,32745787.20,14000000.00
NXT,1,2026-01-28,31616447.79,31616447.79,14000000.00
UAL,1,2026-01-27,29759158.04,29759158.04,14000000.00
SWKS,1,2026-01-28,29630370.56,29630370.56,14000000.00
HIMS,1,2026-01-27,26626851.46,26626851.46,14000000.00
BROS,1,2026-01-27,24737142.15,24737142.15,14000000.00
BKR,1,2026-01-26,24651892.65,24651892.65,14000000.00
FND,1,2026-01-27,23983229.16,23983229.16,14000000.00
WHR,1,2026-01-29,23388772.50,23388772.50,14000000.00
IP,1,2026-01-29,22796704.84,22796704.84,14000000.00
QRVO,1,2026-01-28,22710603.21,22710603.21,14000000.00
ENPH,1,2026-01-27,22659365.60,22659365.60,14000000.00
OKTA,1,2026-01-27,22415578.50,22415578.50,14000000.00
RBLX,1,2026-01-26,19553062.00,19553062.00,14000000.00
SN,1,2026-01-27,18914344.62,18914344.62,14000000.00
CRH,1,2026-01-29,18501881.49,18501881.49,14000000.00
GILD,1,2026-01-30,18466903.32,18466903.32,14000000.00
BX,1,2026-01-29,18315148.00,18315148.00,14000000.00
SMCI,1,2026-01-29,17744640.00,17744640.00,14000000.00
DUOL,1,2026-01-29,17644143.60,17644143.60,14000000.00
SYY,1,2026-01-28,17544912.00,17544912.00,14000000.00
TRU,1,2026-01-29,17458284.75,17458284.75,14000000.00
SYF,1,2026-01-27,16981649.78,16981649.78,14000000.00
ILMN,1,2026-01-28,16712243.32,16712243.32,14000000.00
SE,1,2026-01-26,16559626.12,16559626.12,14000000.00
DOCN,1,2026-01-27,16049780.55,16049780.55,14000000.00
TTD,1,2026-01-27,14698151.28,14698151.28,14000000.00
TOST,1,2026-01-27,14504315.49,14504315.49,14000000.00
AGI,1,2026-01-30,14332403.93,14332403.93,14000000.00
LYB,1,2026-01-30,14205593.60,14205593.60,14000000.00
