Ticker,Days_Appeared,Dates_Appeared,Max_Dollar_Volume,Avg_Dollar_Volume,Threshold_Used
NKE,5,"2026-02-09, 2026-02-10, 2026-02-11, 2026-02-12, 2026-02-13",39825355.50,25395693.14,14000000.00
PDD,4,"2026-02-09, 2026-02-10, 2026-02-11, 2026-02-12",35183536.40,27184698.15,14000000.00
OKLO,4,"2026-02-09, 2026-02-10, 2026-02-11, 2026-02-12",21366956.11,18207708.52,14000000.00
TEAM,4,"2026-02-10, 2026-02-11, 2026-02-12, 2026-02-13",17065149.04,16553272.70,14000000.00
BIDU,3,"2026-02-09, 2026-02-10, 2026-02-13",60778589.72,32205481.66,14000000.00
ANET,3,"2026-02-10, 2026-02-11, 2026-02-12",49062588.00,42539095.30,14000000.00
ON,3,"2026-02-09, 2026-02-10, 2026-02-12",38516196.48,24392633.41,14000000.00
NEM,3,"2026-02-10, 2026-02-11, 2026-02-12",36366500.00,26347366.70,14000000.00
SLB,3,"2026-02-09, 2026-02-10, 2026-02-11",26684396.55,21024695.93,14000000.00
IONQ,3,"2026-02-10, 2026-02-11, 2026-02-13",22064068.01,18747926.62,14000000.00
CRCL,3,"2026-02-09, 2026-02-10, 2026-02-13",19854054.96,16906988.33,14000000.00
CRH,3,"2026-02-10, 2026-02-12, 2026-02-13",19750126.20,18618729.87,14000000.00
SMCI,3,"2026-02-11, 2026-02-12, 2026-02-13",19082163.04,18105747.63,14000000.00
GM,2,"2026-02-09, 2026-02-10",69261796.68,43586761.24,14000000.00
ARM,2,"2026-02-10, 2026-02-13",43176921.80,32788476.88,14000000.00
DDOG,2,"2026-02-09, 2026-02-13",40177688.82,27684031.23,14000000.00
AMKR,2,"2026-02-10, 2026-02-13",38026103.50,37463357.73,14000000.00
MRNA,2,"2026-02-11, 2026-02-13",31794087.37,25842403.23,14000000.00
SE,2,"2026-02-10, 2026-02-11",31775957.50,25489882.31,14000000.00
PYPL,2,"2026-02-11, 2026-02-12",29175371.50,27185872.80,14000000.00
EXE,2,"2026-02-09, 2026-02-13",26531535.66,22855818.79,14000000.00
APLD,2,"2026-02-11, 2026-02-13",26080204.11,21705576.66,14000000.00
CCL,2,"2026-02-09, 2026-02-13",24288457.22,22651223.53,14000000.00
SW,2,"2026-02-11, 2026-02-13",22640749.43,18896836.14,14000000.00
MRVL,2,"2026-02-11, 2026-02-12",20594841.44,19388669.55,14000000.00
TGT,2,"2026-02-09, 2026-02-13",16278314.13,15248092.80,14000000.00
ICLR,1,2026-02-12,86375197.15,86375197.15,14000000.00
ROKU,1,2026-02-13,66972096.00,66972096.00,14000000.00
U,1,2026-02-11,50445535.47,50445535.47,14000000.00
MNDY,1,2026-02-09,50271066.00,50271066.00,14000000.00
BBIO,1,2026-02-12,48192890.70,48192890.70,14000000.00
ASTS,1,2026-02-11,44313139.64,44313139.64,14000000.00
NBIS,1,2026-02-11,41009428.98,41009428.98,14000000.00
BROS,1,2026-02-13,39876019.77,39876019.77,14000000.00
TRU,1,2026-02-10,39053763.28,39053763.28,14000000.00
CGNX,1,2026-02-12,37146151.00,37146151.00,14000000.00
ENTG,1,2026-02-10,34281762.68,34281762.68,14000000.00
VST,1,2026-02-10,33756180.00,33756180.00,14000000.00
DELL,1,2026-02-11,32147872.85,32147872.85,14000000.00
CART,1,2026-02-13,30248988.00,30248988.00,14000000.00
TWLO,1,2026-02-13,29336032.50,29336032.50,14000000.00
RKLB,1,2026-02-11,26628649.60,26628649.60,14000000.00
AKAM,1,2026-02-12,24819627.50,24819627.50,14000000.00
FISV,1,2026-02-10,24360315.84,24360315.84,14000000.00
AA,1,2026-02-13,23968620.62,23968620.62,14000000.00
FCX,1,2026-02-10,23144440.00,23144440.00,14000000.00
CVS,1,2026-02-10,23057624.97,23057624.97,14000000.00
ENPH,1,2026-02-10,22941904.16,22941904.16,14000000.00
WIX,1,2026-02-09,22383566.94,22383566.94,14000000.00
NDAQ,1,2026-02-10,20554419.07,20554419.07,14000000.00
NKTR,1,2026-02-12,19821466.71,19821466.71,14000000.00
BKR,1,2026-02-11,19687527.06,19687527.06,14000000.00
CRDO,1,2026-02-13,19650738.18,19650738.18,14000000.00
ROL,1,2026-02-13,19406173.05,19406173.05,14000000.00
RAPT,1,2026-02-13,18663833.44,18663833.44,14000000.00
TDC,1,2026-02-11,18612893.36,18612893.36,14000000.00
FLUT,1,2026-02-13,18509127.00,18509127.00,14000000.00
UPST,1,2026-02-11,18401428.99,18401428.99,14000000.00
XYZ,1,2026-02-12,18348094.94,18348094.94,14000000.00
COP,1,2026-02-12,17973092.94,17973092.94,14000000.00
PAYC,1,2026-02-12,17488571.14,17488571.14,14000000.00
APO,1,2026-02-09,17450900.34,17450900.34,14000000.00
USFD,1,2026-02-13,17415223.68,17415223.68,14000000.00
LSCC,1,2026-02-11,16936093.60,16936093.60,14000000.00
TSEM,1,2026-02-11,16475451.83,16475451.83,14000000.00
ABNB,1,2026-02-10,16250709.06,16250709.06,14000000.00
IR,1,2026-02-13,15770920.62,15770920.62,14000000.00
DLTR,1,2026-02-13,15664898.85,15664898.85,14000000.00
WDAY,1,2026-02-13,15314352.36,15314352.36,14000000.00
DUOL,1,2026-02-09,14811923.25,14811923.25,14000000.00
AS,1,2026-02-10,14765367.82,14765367.82,14000000.00
KKR,1,2026-02-13,14722166.58,14722166.58,14000000.00
INCY,1,2026-02-10,14678925.00,14678925.00,14000000.00
OXY,1,2026-02-09,14598442.50,14598442.50,14000000.00
EBAY,1,2026-02-12,14594527.90,14594527.90,14000000.00
FITB,1,2026-02-12,14423545.08,14423545.08,14000000.00
SOLS,1,2026-02-11,14390214.88,14390214.88,14000000.00
DVN,1,2026-02-11,14287548.00,14287548.00,14000000.00
